2025.11.08 17:32:06 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/scala-lang/scala-library/2.13.2/scala-library-2.13.2.pom
2025.11.08 17:32:06 INFO  Progress (1): 1.1 kB
2025.11.08 17:32:06 INFO  Progress (1): 1.6 kB
2025.11.08 17:32:06 INFO                      
2025.11.08 17:32:06 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/scala-lang/scala-library/2.13.2/scala-library-2.13.2.pom (1.6 kB at 36 kB/s)
2025.11.08 17:32:06 INFO  Downloading from central: https://repo.maven.apache.org/maven2/com/lihaoyi/unroll-annotation_2.13/0.1.12/unroll-annotation_2.13-0.1.12.pom
2025.11.08 17:32:06 INFO  Progress (1): 1.3 kB
2025.11.08 17:32:06 INFO  Progress (1): 1.5 kB
2025.11.08 17:32:06 INFO                      
2025.11.08 17:32:06 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/com/lihaoyi/unroll-annotation_2.13/0.1.12/unroll-annotation_2.13-0.1.12.pom (1.5 kB at 22 kB/s)
2025.11.08 17:32:06 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/scala-lang/scala-library/2.13.12/scala-library-2.13.12.pom
2025.11.08 17:32:06 INFO  Progress (1): 1.1 kB
2025.11.08 17:32:06 INFO  Progress (1): 1.6 kB
2025.11.08 17:32:06 INFO                      
2025.11.08 17:32:06 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/scala-lang/scala-library/2.13.12/scala-library-2.13.12.pom (1.6 kB at 39 kB/s)
2025.11.08 17:32:06 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/scala-lang/scala-library/2.13.14/scala-library-2.13.14.pom
2025.11.08 17:32:06 INFO  Progress (1): 1.1 kB
2025.11.08 17:32:06 INFO  Progress (1): 1.6 kB
2025.11.08 17:32:06 INFO                      
2025.11.08 17:32:06 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/scala-lang/scala-library/2.13.14/scala-library-2.13.14.pom (1.6 kB at 37 kB/s)
2025.11.08 17:32:06 INFO  Downloading from central: https://repo.maven.apache.org/maven2/net/alchim31/maven/scala-maven-plugin/4.8.0/scala-maven-plugin-4.8.0.pom
2025.11.08 17:32:06 INFO  Progress (1): 1.0 kB
2025.11.08 17:32:06 INFO  Progress (1): 3.5 kB
2025.11.08 17:32:06 INFO  Progress (1): 6.0 kB
2025.11.08 17:32:06 INFO  Progress (1): 11 kB 
2025.11.08 17:32:06 INFO  Progress (1): 14 kB
2025.11.08 17:32:06 INFO  Progress (1): 17 kB
2025.11.08 17:32:06 INFO  Progress (1): 22 kB
2025.11.08 17:32:06 INFO  Progress (1): 26 kB
2025.11.08 17:32:06 INFO                     
2025.11.08 17:32:06 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/net/alchim31/maven/scala-maven-plugin/4.8.0/scala-maven-plugin-4.8.0.pom (26 kB at 554 kB/s)
2025.11.08 17:32:06 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/shared/maven-dependency-tree/3.2.1/maven-dependency-tree-3.2.1.pom
2025.11.08 17:32:06 INFO  Progress (1): 783 B
2025.11.08 17:32:06 INFO  Progress (1): 2.2 kB
2025.11.08 17:32:06 INFO  Progress (1): 4.4 kB
2025.11.08 17:32:06 INFO  Progress (1): 6.2 kB
2025.11.08 17:32:06 INFO                      
2025.11.08 17:32:06 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/shared/maven-dependency-tree/3.2.1/maven-dependency-tree-3.2.1.pom (6.2 kB at 130 kB/s)
2025.11.08 17:32:06 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/shared/maven-shared-components/37/maven-shared-components-37.pom
2025.11.08 17:32:06 INFO  Progress (1): 781 B
2025.11.08 17:32:06 INFO  Progress (1): 2.3 kB
2025.11.08 17:32:06 INFO  Progress (1): 4.5 kB
2025.11.08 17:32:06 INFO  Progress (1): 4.9 kB
2025.11.08 17:32:06 INFO                      
2025.11.08 17:32:06 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/shared/maven-shared-components/37/maven-shared-components-37.pom (4.9 kB at 129 kB/s)
2025.11.08 17:32:06 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/maven-parent/37/maven-parent-37.pom
2025.11.08 17:32:06 INFO  Progress (1): 731 B
2025.11.08 17:32:06 INFO  Progress (1): 1.9 kB
2025.11.08 17:32:06 INFO  Progress (1): 5.5 kB
2025.11.08 17:32:06 INFO  Progress (1): 9.7 kB
2025.11.08 17:32:06 INFO  Progress (1): 14 kB 
2025.11.08 17:32:06 INFO  Progress (1): 19 kB
2025.11.08 17:32:06 INFO  Progress (1): 23 kB
2025.11.08 17:32:06 INFO  Progress (1): 26 kB
2025.11.08 17:32:06 INFO  Progress (1): 27 kB
2025.11.08 17:32:06 INFO  Progress (1): 28 kB
2025.11.08 17:32:06 INFO  Progress (1): 31 kB
2025.11.08 17:32:06 INFO  Progress (1): 35 kB
2025.11.08 17:32:06 INFO  Progress (1): 38 kB
2025.11.08 17:32:06 INFO  Progress (1): 41 kB
2025.11.08 17:32:06 INFO  Progress (1): 46 kB
2025.11.08 17:32:06 INFO                     
2025.11.08 17:32:06 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/maven-parent/37/maven-parent-37.pom (46 kB at 913 kB/s)
2025.11.08 17:32:06 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/apache/apache/27/apache-27.pom
2025.11.08 17:32:06 INFO  Progress (1): 735 B
2025.11.08 17:32:06 INFO  Progress (1): 2.1 kB
2025.11.08 17:32:06 INFO  Progress (1): 3.9 kB
2025.11.08 17:32:06 INFO  Progress (1): 7.2 kB
2025.11.08 17:32:06 INFO  Progress (1): 12 kB 
2025.11.08 17:32:06 INFO  Progress (1): 16 kB
2025.11.08 17:32:06 INFO  Progress (1): 19 kB
2025.11.08 17:32:06 INFO  Progress (1): 19 kB
2025.11.08 17:32:06 INFO  Progress (1): 20 kB
2025.11.08 17:32:06 INFO                     
2025.11.08 17:32:06 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/apache/27/apache-27.pom (20 kB at 453 kB/s)
2025.11.08 17:32:06 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/eclipse/aether/aether-util/1.0.0.v20140518/aether-util-1.0.0.v20140518.pom
2025.11.08 17:32:06 INFO  Progress (1): 920 B
2025.11.08 17:32:06 INFO  Progress (1): 2.2 kB
2025.11.08 17:32:06 INFO                      
2025.11.08 17:32:06 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/eclipse/aether/aether-util/1.0.0.v20140518/aether-util-1.0.0.v20140518.pom (2.2 kB at 55 kB/s)
2025.11.08 17:32:06 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/eclipse/aether/aether/1.0.0.v20140518/aether-1.0.0.v20140518.pom
2025.11.08 17:32:06 INFO  Progress (1): 814 B
2025.11.08 17:32:06 INFO  Progress (1): 3.3 kB
2025.11.08 17:32:06 INFO  Progress (1): 5.2 kB
2025.11.08 17:32:06 INFO  Progress (1): 9.1 kB
2025.11.08 17:32:06 INFO  Progress (1): 12 kB 
2025.11.08 17:32:06 INFO  Progress (1): 17 kB
2025.11.08 17:32:06 INFO  Progress (1): 20 kB
2025.11.08 17:32:06 INFO  Progress (1): 23 kB
2025.11.08 17:32:06 INFO  Progress (1): 24 kB
2025.11.08 17:32:06 INFO  Progress (1): 29 kB
2025.11.08 17:32:06 INFO  Progress (1): 30 kB
2025.11.08 17:32:06 INFO                     
2025.11.08 17:32:06 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/eclipse/aether/aether/1.0.0.v20140518/aether-1.0.0.v20140518.pom (30 kB at 580 kB/s)
2025.11.08 17:32:06 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/eclipse/aether/aether-api/1.0.0.v20140518/aether-api-1.0.0.v20140518.pom
2025.11.08 17:32:07 INFO  Progress (1): 945 B
2025.11.08 17:32:07 INFO  Progress (1): 1.9 kB
2025.11.08 17:32:07 INFO                      
2025.11.08 17:32:07 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/eclipse/aether/aether-api/1.0.0.v20140518/aether-api-1.0.0.v20140518.pom (1.9 kB at 35 kB/s)
2025.11.08 17:32:07 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/reporting/maven-reporting-api/3.1.1/maven-reporting-api-3.1.1.pom
2025.11.08 17:32:07 INFO  Progress (1): 778 B
2025.11.08 17:32:07 INFO  Progress (1): 2.2 kB
2025.11.08 17:32:07 INFO  Progress (1): 3.8 kB
2025.11.08 17:32:07 INFO                      
